"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","bee_rich"
"240","PGM",269,13,"269_13","PA",15,22,2,1,3,1,1.0439192,2.66344067,6.877189555,58.47,5.653333333,0.15,4.4,47.53333333,23.4,4.313333333,0.233333333,2
"241","PGM",269,14,"269_14","PA",17,17,3,0,0,0,0,0.58644,0,31.58,4.666666667,0.06,5,41.77777778,26.33333333,1.377777778,0.633333333,3
"242","PGM",269,15,"269_15","PA",25,37,1,0,1,0,0.188628447,3.830884667,0.087932109,42.61,5.133333333,0.08,5,18.73333333,11.86666667,2.353333333,0.333333333,1
"243","PGM",269,2,"269_2","LBF",26,40,3,17,41,43,68.82600009,9.66238864,22.27067831,64.7,4.98,0.18,1.466666667,36.46666667,27.26666667,3.286666667,0.553333333,7
"244","PGM",269,4,"269_4","LF",23,51,11,22,68,59,181.8823853,10.59670629,42.08014185,49.5,4.54,0.16,1.733333333,33.4,25.73333333,1.66,1,6
"245","PGM",269,6,"269_6","LBF",33,44,9,10,49,34,60.74082129,11.8262773,33.84976333,56.01,5.233333333,0.15,1.666666667,38.44444444,27.22222222,2.9,0.544444444,7
"246","PGM",269,7,"269_7","LF",32,64,7,7,57,49,133.1015756,10.91942887,59.56802797,48.44,4.533333333,0.1,5.8,24.46666667,18.8,0.72,1.146666667,6
"247","PGM",269,8,"269_8","LBF",35,75,10,7,70,57,193.2766869,8.259079385,4.545245429,40.03,4.666666667,0.09,3,23.93333333,16.46666667,0.606666667,1.133333333,12
"248","PGM",274,1,"274_1","LBF",38,39,15,13,70,56,99.04586024,10.16235662,20.99651152,51.59,5.066666667,0.13,3,35.66666667,31.77777778,1.877777778,0.766666667,5
"249","PGM",274,10,"274_10","PA",23,14,5,0,0,0,0,0.839942,0,59.08,5.144444444,0.14,4.666666667,75.66666667,46.66666667,3.3,0.144444444,1
"250","PGM",274,11,"274_11","MA",12,9,3,0,0,0,0,0.926,0,62.27,4.866666667,0.15,5.777777778,62.22222222,42.44444444,3.1,0.422222222,2
"251","PGM",274,12,"274_12","MA",22,11,8,0,0,0,0,2.98908,0,53.35,4.633333333,0.13,5,50.33333333,31.55555556,1.966666667,0.711111111,1
"252","PGM",274,2,"274_2","LBF",36,43,8,15,51,52,80.34068898,6.4757792,20.38140451,58.75,5.077777778,0.17,2.111111111,45.77777778,36.88888889,3.388888889,0.355555556,5
